image,ground_truth,bbox,predicted_class,confidence
1016.jpg,autorickshaw,"{'xmin': 548, 'ymin': 520, 'xmax': 872, 'ymax': 914, 'class': 'autorickshaw', 'class_id': 5}",,
1016.jpg,car,"{'xmin': 1113, 'ymin': 507, 'xmax': 1139, 'ymax': 533, 'class': 'car', 'class_id': 0}",,
1016.jpg,motorcycle,"{'xmin': 1116, 'ymin': 544, 'xmax': 1132, 'ymax': 572, 'class': 'motorcycle', 'class_id': 4}",,
1016.jpg,motorcycle,"{'xmin': 1128, 'ymin': 550, 'xmax': 1204, 'ymax': 683, 'class': 'motorcycle', 'class_id': 4}",,
1016.jpg,autorickshaw,"{'xmin': 1527, 'ymin': 476, 'xmax': 1917, 'ymax': 1076, 'class': 'autorickshaw', 'class_id': 5}",,
1016.jpg,autorickshaw,"{'xmin': 1128, 'ymin': 487, 'xmax': 1153, 'ymax': 512, 'class': 'autorickshaw', 'class_id': 5}",,
1016.jpg,autorickshaw,"{'xmin': 1358, 'ymin': 491, 'xmax': 1427, 'ymax': 529, 'class': 'autorickshaw', 'class_id': 5}",,
1016.jpg,motorcycle,"{'xmin': 1326, 'ymin': 511, 'xmax': 1352, 'ymax': 531, 'class': 'motorcycle', 'class_id': 4}",,
1017.jpg,bus,"{'xmin': 1277, 'ymin': 145, 'xmax': 1921, 'ymax': 960, 'class': 'bus', 'class_id': 2}",,
1017.jpg,truck,"{'xmin': 587, 'ymin': 310, 'xmax': 1017, 'ymax': 938, 'class': 'truck', 'class_id': 1}",,
1017.jpg,motorcycle,"{'xmin': 230, 'ymin': 615, 'xmax': 354, 'ymax': 781, 'class': 'motorcycle', 'class_id': 4}",,
1018.jpg,car,"{'xmin': 1375, 'ymin': 568, 'xmax': 1519, 'ymax': 659, 'class': 'car', 'class_id': 0}",,
1019.jpg,car,"{'xmin': 1027, 'ymin': 587, 'xmax': 1866, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
102.jpg,autorickshaw,"{'xmin': 1, 'ymin': 556, 'xmax': 219, 'ymax': 1080, 'class': 'autorickshaw', 'class_id': 5}",,
102.jpg,autorickshaw,"{'xmin': 546, 'ymin': 545, 'xmax': 956, 'ymax': 1044, 'class': 'autorickshaw', 'class_id': 5}",,
102.jpg,scooter,"{'xmin': 1682, 'ymin': 704, 'xmax': 1919, 'ymax': 1012, 'class': 'scooter', 'class_id': 6}",,
102.jpg,autorickshaw,"{'xmin': 300, 'ymin': 559, 'xmax': 574, 'ymax': 924, 'class': 'autorickshaw', 'class_id': 5}",,
102.jpg,motorcycle,"{'xmin': 205, 'ymin': 679, 'xmax': 318, 'ymax': 840, 'class': 'motorcycle', 'class_id': 4}",,
102.jpg,car,"{'xmin': 1195, 'ymin': 582, 'xmax': 1553, 'ymax': 823, 'class': 'car', 'class_id': 0}",,
102.jpg,autorickshaw,"{'xmin': 1597, 'ymin': 571, 'xmax': 1748, 'ymax': 700, 'class': 'autorickshaw', 'class_id': 5}",,
102.jpg,scooter,"{'xmin': 999, 'ymin': 650, 'xmax': 1093, 'ymax': 814, 'class': 'scooter', 'class_id': 6}",,
1020.jpg,motorcycle,"{'xmin': 19, 'ymin': 635, 'xmax': 210, 'ymax': 797, 'class': 'motorcycle', 'class_id': 4}",,
1020.jpg,bus,"{'xmin': 2, 'ymin': 405, 'xmax': 1163, 'ymax': 773, 'class': 'bus', 'class_id': 2}",,
1020.jpg,bus,"{'xmin': 1578, 'ymin': 409, 'xmax': 1917, 'ymax': 762, 'class': 'bus', 'class_id': 2}",,
1020.jpg,motorcycle,"{'xmin': 1690, 'ymin': 656, 'xmax': 1917, 'ymax': 853, 'class': 'motorcycle', 'class_id': 4}",,
1020.jpg,motorcycle,"{'xmin': 915, 'ymin': 633, 'xmax': 1034, 'ymax': 827, 'class': 'motorcycle', 'class_id': 4}",,
1020.jpg,car,"{'xmin': 1012, 'ymin': 645, 'xmax': 1849, 'ymax': 1078, 'class': 'car', 'class_id': 0}",,
1021.jpg,motorcycle,"{'xmin': 1248, 'ymin': 670, 'xmax': 1293, 'ymax': 764, 'class': 'motorcycle', 'class_id': 4}",,
1021.jpg,bus,"{'xmin': 974, 'ymin': 466, 'xmax': 1204, 'ymax': 734, 'class': 'bus', 'class_id': 2}",,
1021.jpg,truck,"{'xmin': 1367, 'ymin': 113, 'xmax': 1917, 'ymax': 1003, 'class': 'truck', 'class_id': 1}",,
1021.jpg,car,"{'xmin': 871, 'ymin': 610, 'xmax': 1138, 'ymax': 833, 'class': 'car', 'class_id': 0}",,
1021.jpg,car,"{'xmin': 1195, 'ymin': 609, 'xmax': 1263, 'ymax': 685, 'class': 'car', 'class_id': 0}",,
1021.jpg,car,"{'xmin': 1283, 'ymin': 606, 'xmax': 1403, 'ymax': 748, 'class': 'car', 'class_id': 0}",,
1023.jpg,motorcycle,"{'xmin': 928, 'ymin': 638, 'xmax': 1026, 'ymax': 786, 'class': 'motorcycle', 'class_id': 4}",,
1023.jpg,motorcycle,"{'xmin': 592, 'ymin': 660, 'xmax': 778, 'ymax': 1012, 'class': 'motorcycle', 'class_id': 4}",,
1023.jpg,truck,"{'xmin': 1569, 'ymin': 559, 'xmax': 1915, 'ymax': 780, 'class': 'truck', 'class_id': 1}",,
1023.jpg,motorcycle,"{'xmin': 1447, 'ymin': 607, 'xmax': 1567, 'ymax': 718, 'class': 'motorcycle', 'class_id': 4}",,
1026.jpg,car,"{'xmin': 742, 'ymin': 618, 'xmax': 1224, 'ymax': 1079, 'class': 'car', 'class_id': 0}",,
1026.jpg,scooter,"{'xmin': 839, 'ymin': 808, 'xmax': 1161, 'ymax': 1076, 'class': 'scooter', 'class_id': 6}",,
1026.jpg,car,"{'xmin': 1198, 'ymin': 624, 'xmax': 1499, 'ymax': 892, 'class': 'car', 'class_id': 0}",,
1026.jpg,car,"{'xmin': 1, 'ymin': 679, 'xmax': 651, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
1027.jpg,car,"{'xmin': 154, 'ymin': 620, 'xmax': 383, 'ymax': 747, 'class': 'car', 'class_id': 0}",,
1027.jpg,bus,"{'xmin': 974, 'ymin': 461, 'xmax': 1237, 'ymax': 753, 'class': 'bus', 'class_id': 2}",,
1027.jpg,car,"{'xmin': 540, 'ymin': 617, 'xmax': 657, 'ymax': 696, 'class': 'car', 'class_id': 0}",,
1028.jpg,autorickshaw,"{'xmin': 3, 'ymin': 539, 'xmax': 302, 'ymax': 1076, 'class': 'autorickshaw', 'class_id': 5}",,
1028.jpg,autorickshaw,"{'xmin': 236, 'ymin': 536, 'xmax': 462, 'ymax': 714, 'class': 'autorickshaw', 'class_id': 5}",,
1028.jpg,motorcycle,"{'xmin': 1008, 'ymin': 602, 'xmax': 1198, 'ymax': 710, 'class': 'motorcycle', 'class_id': 4}",,
1028.jpg,motorcycle,"{'xmin': 377, 'ymin': 632, 'xmax': 679, 'ymax': 754, 'class': 'motorcycle', 'class_id': 4}",,
1028.jpg,motorcycle,"{'xmin': 634, 'ymin': 613, 'xmax': 836, 'ymax': 756, 'class': 'motorcycle', 'class_id': 4}",,
1028.jpg,scooter,"{'xmin': 1011, 'ymin': 601, 'xmax': 1220, 'ymax': 751, 'class': 'scooter', 'class_id': 6}",,
1029.jpg,motorcycle,"{'xmin': 1, 'ymin': 673, 'xmax': 162, 'ymax': 804, 'class': 'motorcycle', 'class_id': 4}",,
1029.jpg,motorcycle,"{'xmin': 23, 'ymin': 655, 'xmax': 175, 'ymax': 789, 'class': 'motorcycle', 'class_id': 4}",,
1029.jpg,autorickshaw,"{'xmin': 1493, 'ymin': 508, 'xmax': 1917, 'ymax': 864, 'class': 'autorickshaw', 'class_id': 5}",,
1029.jpg,autorickshaw,"{'xmin': 1329, 'ymin': 535, 'xmax': 1637, 'ymax': 850, 'class': 'autorickshaw', 'class_id': 5}",,
1029.jpg,autorickshaw,"{'xmin': 205, 'ymin': 577, 'xmax': 400, 'ymax': 808, 'class': 'autorickshaw', 'class_id': 5}",,
1029.jpg,scooter,"{'xmin': 1631, 'ymin': 676, 'xmax': 1917, 'ymax': 881, 'class': 'scooter', 'class_id': 6}",,
1029.jpg,scooter,"{'xmin': 269, 'ymin': 784, 'xmax': 653, 'ymax': 1080, 'class': 'scooter', 'class_id': 6}",,
103.jpg,mini-bus,"{'xmin': 60, 'ymin': 254, 'xmax': 368, 'ymax': 491, 'class': 'mini-bus', 'class_id': 3}",,
103.jpg,car,"{'xmin': 1, 'ymin': 420, 'xmax': 385, 'ymax': 720, 'class': 'car', 'class_id': 0}",,
103.jpg,car,"{'xmin': 391, 'ymin': 346, 'xmax': 593, 'ymax': 515, 'class': 'car', 'class_id': 0}",,
1031.jpg,truck,"{'xmin': 1027, 'ymin': 93, 'xmax': 1607, 'ymax': 832, 'class': 'truck', 'class_id': 1}",,
1032.jpg,truck,"{'xmin': 1410, 'ymin': 1, 'xmax': 1920, 'ymax': 1074, 'class': 'truck', 'class_id': 1}",,
1032.jpg,truck,"{'xmin': 1196, 'ymin': 555, 'xmax': 1352, 'ymax': 699, 'class': 'truck', 'class_id': 1}",,
1032.jpg,truck,"{'xmin': 1, 'ymin': 109, 'xmax': 733, 'ymax': 1080, 'class': 'truck', 'class_id': 1}",,
1033.jpg,car,"{'xmin': 929, 'ymin': 539, 'xmax': 1121, 'ymax': 751, 'class': 'car', 'class_id': 0}",,
1034.jpg,motorcycle,"{'xmin': 442, 'ymin': 717, 'xmax': 652, 'ymax': 1053, 'class': 'motorcycle', 'class_id': 4}",,
1034.jpg,car,"{'xmin': 1399, 'ymin': 642, 'xmax': 1677, 'ymax': 800, 'class': 'car', 'class_id': 0}",,
1036.jpg,motorcycle,"{'xmin': 1190, 'ymin': 539, 'xmax': 1511, 'ymax': 775, 'class': 'motorcycle', 'class_id': 4}",,
1036.jpg,car,"{'xmin': 644, 'ymin': 492, 'xmax': 1256, 'ymax': 861, 'class': 'car', 'class_id': 0}",,
1036.jpg,motorcycle,"{'xmin': 1543, 'ymin': 493, 'xmax': 1631, 'ymax': 609, 'class': 'motorcycle', 'class_id': 4}",,
1036.jpg,car,"{'xmin': 437, 'ymin': 491, 'xmax': 676, 'ymax': 669, 'class': 'car', 'class_id': 0}",,
1037.jpg,scooter,"{'xmin': 623, 'ymin': 649, 'xmax': 723, 'ymax': 806, 'class': 'scooter', 'class_id': 6}",,
1037.jpg,scooter,"{'xmin': 1367, 'ymin': 674, 'xmax': 1564, 'ymax': 885, 'class': 'scooter', 'class_id': 6}",,
1037.jpg,autorickshaw,"{'xmin': 1002, 'ymin': 511, 'xmax': 1327, 'ymax': 893, 'class': 'autorickshaw', 'class_id': 5}",,
1037.jpg,autorickshaw,"{'xmin': 844, 'ymin': 548, 'xmax': 1030, 'ymax': 790, 'class': 'autorickshaw', 'class_id': 5}",,
1038.jpg,autorickshaw,"{'xmin': 936, 'ymin': 584, 'xmax': 1072, 'ymax': 741, 'class': 'autorickshaw', 'class_id': 5}",,
1038.jpg,autorickshaw,"{'xmin': 0, 'ymin': 542, 'xmax': 584, 'ymax': 907, 'class': 'autorickshaw', 'class_id': 5}",,
1038.jpg,truck,"{'xmin': 677, 'ymin': 554, 'xmax': 839, 'ymax': 761, 'class': 'truck', 'class_id': 1}",,
1038.jpg,motorcycle,"{'xmin': 884, 'ymin': 655, 'xmax': 977, 'ymax': 814, 'class': 'motorcycle', 'class_id': 4}",,
1039.jpg,truck,"{'xmin': 942, 'ymin': 461, 'xmax': 1087, 'ymax': 667, 'class': 'truck', 'class_id': 1}",,
1039.jpg,scooter,"{'xmin': 264, 'ymin': 644, 'xmax': 436, 'ymax': 860, 'class': 'scooter', 'class_id': 6}",,
1039.jpg,truck,"{'xmin': 1, 'ymin': 192, 'xmax': 270, 'ymax': 777, 'class': 'truck', 'class_id': 1}",,
1039.jpg,autorickshaw,"{'xmin': 781, 'ymin': 552, 'xmax': 885, 'ymax': 659, 'class': 'autorickshaw', 'class_id': 5}",,
104.jpg,scooter,"{'xmin': 550, 'ymin': 356, 'xmax': 588, 'ymax': 433, 'class': 'scooter', 'class_id': 6}",,
104.jpg,motorcycle,"{'xmin': 176, 'ymin': 385, 'xmax': 258, 'ymax': 456, 'class': 'motorcycle', 'class_id': 4}",,
104.jpg,scooter,"{'xmin': 209, 'ymin': 378, 'xmax': 300, 'ymax': 437, 'class': 'scooter', 'class_id': 6}",,
104.jpg,autorickshaw,"{'xmin': 1, 'ymin': 354, 'xmax': 192, 'ymax': 720, 'class': 'autorickshaw', 'class_id': 5}",,
104.jpg,car,"{'xmin': 896, 'ymin': 340, 'xmax': 1069, 'ymax': 435, 'class': 'car', 'class_id': 0}",,
104.jpg,car,"{'xmin': 408, 'ymin': 352, 'xmax': 529, 'ymax': 435, 'class': 'car', 'class_id': 0}",,
1040.jpg,truck,"{'xmin': 696, 'ymin': 375, 'xmax': 954, 'ymax': 733, 'class': 'truck', 'class_id': 1}",,
1040.jpg,truck,"{'xmin': 1303, 'ymin': 419, 'xmax': 1848, 'ymax': 913, 'class': 'truck', 'class_id': 1}",,
1040.jpg,motorcycle,"{'xmin': 446, 'ymin': 603, 'xmax': 547, 'ymax': 734, 'class': 'motorcycle', 'class_id': 4}",,
1040.jpg,car,"{'xmin': 1055, 'ymin': 560, 'xmax': 1186, 'ymax': 672, 'class': 'car', 'class_id': 0}",,
1041.jpg,motorcycle,"{'xmin': 1352, 'ymin': 771, 'xmax': 1833, 'ymax': 1078, 'class': 'motorcycle', 'class_id': 4}",,
1042.jpg,truck,"{'xmin': 1554, 'ymin': 427, 'xmax': 1920, 'ymax': 616, 'class': 'truck', 'class_id': 1}",,
1042.jpg,car,"{'xmin': 1431, 'ymin': 602, 'xmax': 1913, 'ymax': 888, 'class': 'car', 'class_id': 0}",,
1042.jpg,car,"{'xmin': 771, 'ymin': 561, 'xmax': 824, 'ymax': 609, 'class': 'car', 'class_id': 0}",,
1042.jpg,car,"{'xmin': 606, 'ymin': 550, 'xmax': 725, 'ymax': 607, 'class': 'car', 'class_id': 0}",,
1042.jpg,scooter,"{'xmin': 935, 'ymin': 592, 'xmax': 977, 'ymax': 644, 'class': 'scooter', 'class_id': 6}",,
1042.jpg,bus,"{'xmin': 890, 'ymin': 516, 'xmax': 990, 'ymax': 594, 'class': 'bus', 'class_id': 2}",,
1042.jpg,scooter,"{'xmin': 1030, 'ymin': 628, 'xmax': 1114, 'ymax': 738, 'class': 'scooter', 'class_id': 6}",,
1043.jpg,truck,"{'xmin': 766, 'ymin': 505, 'xmax': 955, 'ymax': 711, 'class': 'truck', 'class_id': 1}",,
1043.jpg,car,"{'xmin': 566, 'ymin': 619, 'xmax': 740, 'ymax': 725, 'class': 'car', 'class_id': 0}",,
1043.jpg,car,"{'xmin': 844, 'ymin': 617, 'xmax': 1092, 'ymax': 839, 'class': 'car', 'class_id': 0}",,
1043.jpg,motorcycle,"{'xmin': 309, 'ymin': 695, 'xmax': 538, 'ymax': 963, 'class': 'motorcycle', 'class_id': 4}",,
1044.jpg,scooter,"{'xmin': 259, 'ymin': 691, 'xmax': 553, 'ymax': 1080, 'class': 'scooter', 'class_id': 6}",,
1044.jpg,bus,"{'xmin': 1418, 'ymin': 493, 'xmax': 1730, 'ymax': 649, 'class': 'bus', 'class_id': 2}",,
1044.jpg,car,"{'xmin': 1017, 'ymin': 588, 'xmax': 1509, 'ymax': 961, 'class': 'car', 'class_id': 0}",,
1044.jpg,car,"{'xmin': 1, 'ymin': 549, 'xmax': 262, 'ymax': 723, 'class': 'car', 'class_id': 0}",,
